[2025-06-19 12:24:47,415] ERROR django.request log_response:253 - Internal Server Error: /api/v1/users/register/
[2025-06-19 12:26:33,292] ERROR django.request log_response:253 - Internal Server Error: /api/v1/users/register/
[2025-06-19 12:26:53,964] ERROR django.request log_response:253 - Internal Server Error: /api/v1/users/register/
[2025-06-19 12:28:47,579] ERROR django.request log_response:253 - Internal Server Error: /api/v1/users/register/
[2025-06-19 12:30:43,129] ERROR django.request log_response:253 - Internal Server Error: /api/v1/users/login/
[2025-06-26 10:46:17,757] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/9999/
[2025-06-26 10:46:18,643] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/7/
[2025-06-26 10:46:19,525] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/
[2025-06-26 10:46:45,823] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/9999/
[2025-06-26 10:46:46,707] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/7/
[2025-06-26 10:46:47,592] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/
[2025-06-26 10:47:36,053] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/9999/
[2025-06-26 10:47:36,947] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/7/
[2025-06-26 10:47:37,838] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/
[2025-06-26 10:48:22,686] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/9999/
[2025-06-26 10:48:23,587] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/7/
[2025-06-26 10:48:24,475] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/
[2025-06-26 10:49:10,157] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/9999/
[2025-06-26 10:49:11,085] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/7/
[2025-06-26 10:49:11,996] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/
[2025-06-26 10:50:12,886] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/9999/
[2025-06-26 10:52:53,053] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/categories/99999/
[2025-06-26 11:38:08,946] ERROR django.request log_response:253 - Internal Server Error: /api/v1/classes/calendar/
